backend,snapshot,ok,payload_field_count,has_timestamp,has_entries,has_balance_sheet
clickhouse,backend_debug,True,10,False,False,False
clickhouse,backend_entries,True,5,False,True,False
clickhouse,backend_filter_options,True,13,False,False,False
clickhouse,backend_health,True,2,False,False,False
clickhouse,backend_summary,True,7,True,True,True
clickhouse,backend_workspace,True,8,True,True,False
clickhouse,master_data_health,True,2,False,False,False
clickhouse,realtime_gateway_health,True,5,False,False,False
clickhouse,storage_writer_health,True,2,False,False,False
druid,backend_debug,True,6,False,False,False
druid,backend_entries,True,5,False,True,False
druid,backend_filter_options,False,0,False,False,False
druid,backend_health,True,3,False,False,False
druid,backend_summary,True,7,True,True,True
druid,backend_workspace,True,8,True,True,False
druid,master_data_health,True,2,False,False,False
druid,realtime_gateway_health,True,5,False,False,False
druid,storage_writer_health,True,2,False,False,False
materialize,backend_debug,False,0,False,False,False
materialize,backend_entries,False,0,False,False,False
materialize,backend_filter_options,False,0,False,False,False
materialize,backend_health,False,0,False,False,False
materialize,backend_summary,False,0,False,False,False
materialize,backend_workspace,False,0,False,False,False
materialize,master_data_health,False,0,False,False,False
materialize,realtime_gateway_health,False,0,False,False,False
materialize,storage_writer_health,False,0,False,False,False
pinot,backend_debug,False,0,False,False,False
pinot,backend_entries,False,0,False,False,False
pinot,backend_filter_options,False,0,False,False,False
pinot,backend_health,False,0,False,False,False
pinot,backend_summary,False,0,False,False,False
pinot,backend_workspace,False,0,False,False,False
pinot,master_data_health,False,0,False,False,False
pinot,realtime_gateway_health,False,0,False,False,False
pinot,storage_writer_health,False,0,False,False,False
