backend,role,container,cpu_avg,cpu_peak,memory_avg_mb,memory_peak_mb,sample_count
clickhouse,api,syntetic-ledger-dash-ui-api-1,17.31885714285714,51.21,61.37885714285715,71.8,35
clickhouse,engine:clickhouse,syntetic-ledger-dash-ui-clickhouse-1,87.86514285714286,183.62,913.5776,1339.392,35
clickhouse,frontend,syntetic-ledger-dash-ui-frontend-1,0.2937142857142857,2.79,9.737371428571429,10.01,35
clickhouse,kafka,syntetic-ledger-dash-ui-kafka-1,28.127428571428574,104.51,423.76,515.6,35
clickhouse,kafka-ui,syntetic-ledger-dash-ui-kafka-ui-1,4.561714285714285,51.45,190.44542857142858,195.9,35
clickhouse,master-data,syntetic-ledger-dash-ui-master-data-1,1.8611428571428572,5.48,42.89142857142857,43.31,35
clickhouse,otel-collector,syntetic-ledger-dash-ui-otel-collector-1,2.0782857142857143,2.87,60.157714285714285,68.17,35
clickhouse,producer,syntetic-ledger-dash-ui-producer-1,3.701714285714286,4.88,26.801142857142857,28.97,35
clickhouse,realtime-gateway,syntetic-ledger-dash-ui-realtime-gateway-1,9.006857142857143,25.44,42.777142857142856,46.03,35
clickhouse,storage-writer,syntetic-ledger-dash-ui-storage-writer-1,5.581142857142857,14.5,55.16285714285714,55.73,35
clickhouse,zookeeper,syntetic-ledger-dash-ui-zookeeper-1,9.298285714285715,80.82,97.09971428571428,121.9,35
druid,api-druid,syntetic-ledger-dash-ui-api-druid-1,3.1917142857142857,11.96,58.92742857142857,63.18,35
druid,druid-broker,syntetic-ledger-dash-ui-druid-broker-1,46.614,79.77,2043.7284571428572,2046.976,35
druid,druid-coordinator,syntetic-ledger-dash-ui-druid-coordinator-1,2.652285714285714,48.64,289.36,290.6,35
druid,druid-historical,syntetic-ledger-dash-ui-druid-historical-1,0.47,1.7,326.0942857142857,326.2,35
druid,druid-middlemanager,syntetic-ledger-dash-ui-druid-middlemanager-1,30.90457142857143,100.6,1003.7085714285715,1024.0,35
druid,druid-overlord,syntetic-ledger-dash-ui-druid-overlord-1,0.748,2.73,297.46000000000004,298.4,35
druid,druid-postgres,syntetic-ledger-dash-ui-druid-postgres-1,0.48514285714285715,5.07,54.65828571428571,56.31,35
druid,druid-router,syntetic-ledger-dash-ui-druid-router-1,10.783142857142858,44.39,252.0914285714286,255.9,35
druid,frontend-druid,syntetic-ledger-dash-ui-frontend-druid-1,0.7731428571428571,1.49,10.673714285714285,10.87,35
druid,kafka,syntetic-ledger-dash-ui-kafka-1,25.20828571428571,101.12,424.7142857142857,511.9,35
druid,kafka-ui,syntetic-ledger-dash-ui-kafka-ui-1,4.532,51.85,190.38,196.1,35
druid,master-data,syntetic-ledger-dash-ui-master-data-1,0.6874285714285715,3.43,41.71257142857143,41.93,35
druid,otel-collector,syntetic-ledger-dash-ui-otel-collector-1,2.0388571428571427,3.4,61.458000000000006,69.68,35
druid,producer,syntetic-ledger-dash-ui-producer-1,3.4431428571428575,4.64,26.402857142857144,28.6,35
druid,realtime-gateway,syntetic-ledger-dash-ui-realtime-gateway-1,9.594285714285714,21.21,44.16657142857142,49.58,35
druid,storage-writer,syntetic-ledger-dash-ui-storage-writer-1,1.5905714285714285,2.82,50.611428571428576,51.23,35
druid,zookeeper,syntetic-ledger-dash-ui-zookeeper-1,5.708,84.09,105.18314285714285,122.0,35
materialize,api-materialize,syntetic-ledger-dash-ui-api-materialize-1,12.719999999999999,56.48,58.98542857142858,75.79,35
materialize,frontend-materialize,syntetic-ledger-dash-ui-frontend-materialize-1,0.16514285714285715,0.67,10.311142857142856,10.43,35
materialize,kafka,syntetic-ledger-dash-ui-kafka-1,26.554,102.53,427.45428571428573,508.7,35
materialize,kafka-ui,syntetic-ledger-dash-ui-kafka-ui-1,0.19828571428571426,2.09,218.8342857142857,219.1,35
materialize,master-data,syntetic-ledger-dash-ui-master-data-1,0.33057142857142857,4.68,43.591142857142856,43.78,35
materialize,materialized,syntetic-ledger-dash-ui-materialized-1,47.00028571428572,112.1,1018.092457142857,1106.944,35
materialize,otel-collector,syntetic-ledger-dash-ui-otel-collector-1,2.330857142857143,5.86,58.81885714285714,66.78,35
materialize,producer,syntetic-ledger-dash-ui-producer-1,3.6677142857142857,6.36,33.33,35.69,35
materialize,realtime-gateway,syntetic-ledger-dash-ui-realtime-gateway-1,6.123142857142857,13.26,42.89085714285714,45.61,35
materialize,storage-writer,syntetic-ledger-dash-ui-storage-writer-1,1.596857142857143,2.24,47.498285714285714,47.91,35
materialize,zookeeper,syntetic-ledger-dash-ui-zookeeper-1,8.682285714285713,141.18,94.51085714285715,94.61,35
pinot,api-pinot,syntetic-ledger-dash-ui-api-pinot-1,14.025555555555556,50.89,60.66388888888889,66.57,36
pinot,frontend-pinot,syntetic-ledger-dash-ui-frontend-pinot-1,0.7744444444444444,1.71,9.763333333333334,9.852,36
pinot,kafka,syntetic-ledger-dash-ui-kafka-1,27.6675,101.03,420.0027777777778,489.2,36
pinot,kafka-ui,syntetic-ledger-dash-ui-kafka-ui-1,0.1638888888888889,2.91,185.38055555555556,186.0,36
pinot,master-data,syntetic-ledger-dash-ui-master-data-1,2.0877777777777777,8.6,39.349999999999994,39.62,36
pinot,otel-collector,syntetic-ledger-dash-ui-otel-collector-1,2.0558333333333336,3.31,55.365833333333335,67.69,36
pinot,pinot-broker,syntetic-ledger-dash-ui-pinot-broker-1,43.54277777777778,102.76,1276.2168888888891,1280.0,36
pinot,pinot-controller,syntetic-ledger-dash-ui-pinot-controller-1,1.6180555555555556,15.68,1270.5564444444444,1274.88,36
pinot,pinot-server,syntetic-ledger-dash-ui-pinot-server-1,20.968055555555555,95.48,1485.4826666666668,1499.136,36
pinot,pinot-zookeeper,syntetic-ledger-dash-ui-pinot-zookeeper-1,6.101388888888888,116.74,119.47222222222223,147.1,36
pinot,producer,syntetic-ledger-dash-ui-producer-1,3.4727777777777775,4.28,26.846111111111114,28.93,36
pinot,realtime-gateway,syntetic-ledger-dash-ui-realtime-gateway-1,6.826388888888889,9.51,42.97555555555556,44.45,36
pinot,storage-writer,syntetic-ledger-dash-ui-storage-writer-1,1.6052777777777778,2.06,53.58777777777778,54.59,36
pinot,zookeeper,syntetic-ledger-dash-ui-zookeeper-1,7.548333333333334,66.83,98.92888888888889,126.7,36
