backend,query_name,count,success_count,error_count,avg_row_count,avg_ms,p50_ms,p95_ms,p99_ms,max_ms
clickhouse,entries_count,6573,6573,0,1.0,3.2246819912747697,2.8162100061308593,4.653141798917203,10.288486202480222,61.453680995327886
clickhouse,summary_by_role,6573,6573,0,14.0,4.912871668649488,4.197161004412919,7.67154439963633,16.114760722848583,146.9732519981335
clickhouse,filtered_entries,6573,6573,0,50.0,5.536720998188964,4.879811000137124,8.599595402483827,17.343988801585496,61.989730995264836
druid,entries_count,2375,2375,0,1.0,12.124262703686805,7.666325000172947,55.849589999706936,71.93023946208992,100.32629499619361
druid,summary_by_role,2375,2375,0,14.0,16.155228695948608,11.137489003886003,60.19068780078664,75.67251672298872,100.44660700077657
druid,filtered_entries,2374,0,2374,,,,,,
materialize,entries_count,19,19,0,1.0,415.26211889600074,521.1698040002375,875.0778221969084,892.4977124396537,896.85268500034
materialize,summary_by_role,19,19,0,14.0,385.8276120001009,191.97226899996167,855.8986340984112,1091.341608420189,1150.2023520006333
materialize,filtered_entries,19,19,0,50.0,727.6249886846543,568.3183120054309,1432.354666800529,1493.7320733585511,1509.0764249980566
pinot,entries_count,16090,16090,0,1.0,1.757484002022756,1.4086135015531909,3.043203400739002,4.413588414026899,105.86589800368529
pinot,summary_by_role,16089,16089,0,14.0,1.9433558926978878,1.5818739993846975,3.3234960021218267,4.78801503923022,86.28637199581135
pinot,filtered_entries,16089,16089,0,50.0,1.8826626778095825,1.517219003289938,3.251092799473553,4.794472159701364,129.58819000050426
